disease,symptoms
Wrist fracture,"Pain, bruising, and swelling of the wrist"
Concussion,"Headache; trouble with thinking, memory, or concentration; nausea; blurry vision; sleep disturbances; mood changes"
Lipoma,"Soft, movable, usually painless lump"
Pulmonary embolism,"Shortness of breath, chest pain, coughing up blood"
Ethanol withdrawal,"Anxiety, shakiness, sweating, vomiting, fast heart rate, mild fever"
Irritable bowel syndrome,"Diarrhea, constipation, abdominal pain"
Humerus fracture,"Pain, swelling, bruising"
Basal cell cancer,Painless raised area of skin that may be shiny with small blood vessel running over it or ulceration
Osteoporosis,Increased risk of a broken bone
Crohns disease,"Abdominal pain, diarrhea , fever, weight loss, fatigue, mouth sores, reduced appetite"
Bone infection ,"Pain in a specific bone, overlying redness, fever, weakness"
Alzheimer's disease,"Memory loss, problems with language, disorientation, mood swings"
Indigestion ,Upper abdominal pain
Wrist sprain,"Pain, swelling, bruising, joint instability, limited range of motion of the injured joint"
Leg cramps,sudden muscle pain and a paralysis-like immobility
Genital warts,"Small bumps in skin of genital area, varying sizes and shapes but typically protrude out, burning, itch"
Colorectal cancer,"Blood in stool, change in bowel movements, unintentional weight loss, vomiting, fatigue"
Coughing up blood,Coughing up blood or bloody sputum
Toe fracture,"Pain, tenderness, bruising, swelling, displacement of the bones."
Urine retention,"Sudden onset: Inability to urinate, low abdominal painLong term: Frequent urination, loss of bladder control, urinary tract infection"
Sepsis,".mw-parser-output .hlist dl,.mw-parser-output .hlist ol,.mw-parser-output .hlist ul{margin:0;padding:0}.mw-parser-output .hlist dd,.mw-parser-output .hlist dt,.mw-parser-output .hlist li{margin:0;display:inline}.mw-parser-output .hlist.inline,.mw-parser-output .hlist.inline dl,.mw-parser-output .hlist.inline ol,.mw-parser-output .hlist.inline ul,.mw-parser-output .hlist dl dl,.mw-parser-output .hlist dl ol,.mw-parser-output .hlist dl ul,.mw-parser-output .hlist ol dl,.mw-parser-output .hlist ol ol,.mw-parser-output .hlist ol ul,.mw-parser-output .hlist ul dl,.mw-parser-output .hlist ul ol,.mw-parser-output .hlist ul ul{display:inline}.mw-parser-output .hlist .mw-empty-li{display:none}.mw-parser-output .hlist dt::after{content:"": ""}.mw-parser-output .hlist dd::after,.mw-parser-output .hlist li::after{content:"" · "";font-weight:bold}.mw-parser-output .hlist dd:last-child::after,.mw-parser-output .hlist dt:last-child::after,.mw-parser-output .hlist li:last-child::after{content:none}.mw-parser-output .hlist dd dd:first-child::before,.mw-parser-output .hlist dd dt:first-child::before,.mw-parser-output .hlist dd li:first-child::before,.mw-parser-output .hlist dt dd:first-child::before,.mw-parser-output .hlist dt dt:first-child::before,.mw-parser-output .hlist dt li:first-child::before,.mw-parser-output .hlist li dd:first-child::before,.mw-parser-output .hlist li dt:first-child::before,.mw-parser-output .hlist li li:first-child::before{content:"" "";font-weight:normal}.mw-parser-output .hlist ol{counter-reset:listitem}.mw-parser-output .hlist ol>li{counter-increment:listitem}.mw-parser-output .hlist ol>li::before{content:"" ""counter""\a0 ""}.mw-parser-output .hlist dd ol>li:first-child::before,.mw-parser-output .hlist dt ol>li:first-child::before,.mw-parser-output .hlist li ol>li:first-child::before{content:"" ""\a0 ""}Feverincreased heart ratelow blood pressureincreased breathing ratelow urine outputabsent or near absent urine outputsevere painconfusion"
Bunion,"Prominent, red, and painful joint at the base of the big toe"
Clavicle fracture,"Pain, decreased ability to move the affected arm"
Hematemesis,Vomiting bright blood
Jock itch ,"Itch, rash in groin"
Bartholin's gland cyst,"Swelling of one side of the vagina, pain, sometimes no symptoms"
Cystitis,"Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder"
Nasal fracture,"Nose bleed, swelling, bruising"
Multiple sclerosis ,"Variable, including almost any neurological symptom or sign, with autonomic, visual, motor, and sensory problems being the most common."
Flu ,"Fever, runny nose, sore throat, muscle pain, headache, coughing, fatigue"
Spinal stenosis,"Pain, numbness, or weakness in the arms or legs"
Shoulder dislocation,Shoulder pain
Penile discharge,Fluid from penis
Gonorrhea,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain"
Ganglion cyst,Small soft lump associated with a joint
Common cold,"Cough, sore throat, runny nose, fever"
Restless legs,Unpleasant feeling in the legs that briefly improves with moving them
Plantar wart ,"Skin colored lesion, may be painful"
Systemic lupus erythematosus ,"Painful and swollen joints, fever, chest pain, hair loss, mouth ulcers, swollen lymph nodes, feeling tired, red rash"
Small bowel obstruction,"Abdominal pain, vomiting, bloating, not passing gas"
Rib fracture,Chest pain that is worse with breathing in
Tennis elbow ,Painful and tender outer part of the elbow
Pityriasis rosea,"Single red and slightly scaly area, followed"
Sarcoidosis,"Depends on the organ involvedLungs: wheezing, cough, shortness of breath, chest painSkin: lumps, ulcers, discolored skinChildren: weight loss, bone pain, feeling tired"
Erectile dysfunction ,Inability to gain or maintain an erection
Pleurisy,Sharp chest pain
Attention deficit hyperactivity disorder ,Inattentioncarelessnesshyperactivityexecutive dysfunctionimpulsivity
Hepatitis,"Yellowish skin, poor appetite, abdominal pain"
Rosacea,"Facial redness, swelling, and small and superficial dilated blood vessels"
Eustachian tube dysfunction,"Aural fullness, ears popping, pressure, a feeling the ears are clogged, crackling, ear pain, tinnitus, autophony, muffled hearing"
Angioedema,Area of swelling
Ascites,"Increased abdominal size, increased weight, abdominal discomfort, shortness of breath"
Muscle cramps,sudden muscle pain and a paralysis-like immobility
Lichen simplex chronicus,"Thick leathery skin, exaggerated skin markings, small bumps, patches, scratch marks, scale"
Varices,Internal bleeding
Rotator cuff tear,"Shoulder pain, weakness"
Canker sore,"A round, often painful sore inside the mouth that is white or gray with a red border; Tingling or burning sensation prior to sore development; Fever, sluggishness, and/or swollen lymph nodes"
Hepatitis B,"None, yellowish skin, tiredness, dark urine, abdominal pain"
Peptic ulcer,"Heartburn, upper abdominal pain, nausea, belching, vomiting, blood in the stool, weight loss, weight gain, bloating, loss of appetite yellowing of the skin and whites of the eyes difficulty swallowing"
Heart murmur,Whooshing
Tonsillar abscess,"Fever, throat pain, trouble opening the mouth, change to the voice"
Laryngitis,"Hoarse voice, fever, pain"
Orbital blowout fracture,"Double vision especially when looking up, numbness of the lateral nose skin, the cheek below the eyelid, and the upper lip, Bloody nose, lateral subconjunctival hemorrhage )"
Ulnar neuropathy,Numbness
Molluscum contagiosum,"Small, raised, pink lesions with a dimple in the center"
Hip fracture,"Pain around the hip particularly with movement, shortening of the leg"
Collapsed lung ,"Chest pain, shortness of breath, tiredness"
Impotence,Inability to gain or maintain an erection
Mastitis,"Localized breast pain and redness, fever"
Gastroparesis,"Nausea, vomiting, abdominal pain, feeling full after eating just a few bites"
Ataxia,Lack of coordination Slurred speech Trouble eating and swallowing Deterioration of fine motor skills Difficulty walking Gait abnormalities Eye movement abnormalities Tremors Heart problems
Aortic stenosis,"Decreased ability to exercise, loss of consciousness, shortness of breath, heart related chest pain, leg swelling"
Osteopenia,Usually asymptomatic
Iritis,"Headaches, red eyes, blurred vision, photophobia, burning and redness of the eye"
Prostate cancer,"None, difficulty urinating, blood in the urine, pain in the pelvis, back, or when urinating"
Sexually transmitted disease ,"None, vaginal discharge, penile discharge, ulcers on or around the genitals, pelvic pain"
Emphysema,"Shortness of breath, chronic cough"
Endometriosis,"Pelvic pain, infertility"
Chalazion,"Red, non painful cyst in middle of the eyelid"
Heartburn,"Burning, stabbing, or squeezing sensation in the chest, nausea, belching"
Parkinsons,"Tremor, rigidity, slowness of movement, difficulty walking"
Nearsightedness ,"Distant objects appear blurry, close objects appear normal, headaches, eye strain"
Scarlet fever,"Sore throat, fever, headaches, swollen lymph nodes in the neck, characteristic rash"
