disease,symptoms
Actinic keratosis,"Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter, Flat to slightly raised patch or bump on the top layer of skin, In some cases, a hard, wartlike surface, Color variations, including pink, red or brown, Itching, burning, bleeding or crusting, New patches or bumps on sun-exposed areas of the head, neck, hands and forearms"
Acute coronary syndrome,"Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning, Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw, Nausea or vomiting, Indigestion, Shortness of breath (dyspnea), Sudden, heavy sweating (diaphoresis), Lightheadedness, dizziness or fainting, Unusual or unexplained fatigue, Feeling restless or apprehensive"
Acute flaccid myelitis (AFM),"Sudden arm or leg weakness, Sudden loss of muscle tone, Sudden loss of reflexes"
"Acute granulocytic leukemia, also known asAcute myelogenous leukemia","Fever, Bone pain, Lethargy and fatigue, Shortness of breath, Pale skin, Frequent infections, Easy bruising, Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
"Acute inflammatory demyelinating polyneuropathy, also known asGuillain-Barre syndrome","A pins and needles sensation in your fingers, toes, ankles or wrists, Weakness in your legs that spreads to your upper body, Unsteady walking or inability to walk or climb stairs, Difficulty with facial movements, including speaking, chewing or swallowing, Double vision or inability to move the eyes, Severe pain that may feel achy, shooting or cramplike and may be worse at night, Difficulty with bladder control or bowel function, Rapid heart rate, Low or high blood pressure, Difficulty breathing"
Acute kidney failure,"Decreased urine output, although occasionally urine output remains normal, Fluid retention, causing swelling in your legs, ankles or feet, Shortness of breath, Fatigue, Confusion, Nausea, Weakness, Irregular heartbeat, Chest pain or pressure, Seizures or coma in severe cases"
Acute liver failure,"Yellowing of your skin and eyeballs (jaundice), Pain in your upper right abdomen, A swollen belly (ascites), Nausea, Vomiting, A general sense of feeling unwell (malaise), Disorientation or confusion, Sleepiness, Breath may have a musty or sweet odor, Tremors"
"Acute lymphoblastic leukemia, also known asAcute lymphocytic leukemia","Bleeding from the gums, Bone pain, Fever, Frequent infections, Frequent or severe nosebleeds, Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin, Pale skin, Shortness of breath, Weakness, fatigue or a general decrease in energy"
Acute lymphocytic leukemia,"Bleeding from the gums, Bone pain, Fever, Frequent infections, Frequent or severe nosebleeds, Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin, Pale skin, Shortness of breath, Weakness, fatigue or a general decrease in energy"
"Acute lymphoid leukemia, also known asAcute lymphocytic leukemia","Bleeding from the gums, Bone pain, Fever, Frequent infections, Frequent or severe nosebleeds, Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin, Pale skin, Shortness of breath, Weakness, fatigue or a general decrease in energy"
"Acute myeloblastic leukemia, also known asAcute myelogenous leukemia","Fever, Bone pain, Lethargy and fatigue, Shortness of breath, Pale skin, Frequent infections, Easy bruising, Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
Acute myelogenous leukemia,"Fever, Bone pain, Lethargy and fatigue, Shortness of breath, Pale skin, Frequent infections, Easy bruising, Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
"Acute myeloid lukemia, also known asAcute myelogenous leukemia","Fever, Bone pain, Lethargy and fatigue, Shortness of breath, Pale skin, Frequent infections, Easy bruising, Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
"Acute nonlymphocytic leukemia, also known asAcute myelogenous leukemia","Fever, Bone pain, Lethargy and fatigue, Shortness of breath, Pale skin, Frequent infections, Easy bruising, Unusual bleeding, such as frequent nosebleeds and bleeding from the gums"
"Acute radiation sickness, also known asRadiation sickness","Nausea and vomiting, Diarrhea, Headache, Fever, Dizziness and disorientation, Weakness and fatigue, Hair loss, Bloody vomit and stools from internal bleeding, Infections, Low blood pressure"
"Acute radiation syndrome, also known asRadiation sickness","Nausea and vomiting, Diarrhea, Headache, Fever, Dizziness and disorientation, Weakness and fatigue, Hair loss, Bloody vomit and stools from internal bleeding, Infections, Low blood pressure"
"Acute renal failure, also known asAcute kidney failure","Decreased urine output, although occasionally urine output remains normal, Fluid retention, causing swelling in your legs, ankles or feet, Shortness of breath, Fatigue, Confusion, Nausea, Weakness, Irregular heartbeat, Chest pain or pressure, Seizures or coma in severe cases"
"Acute respiratory distress syndrome, also known asARDS","Severe shortness of breath, Labored and unusually rapid breathing, Low blood pressure, Confusion and extreme tiredness"
Acute sinusitis,"Thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage), Blocked or stuffy nose (congestion) causing difficulty breathing through your nose, Pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over"
"Addiction, alcohol, also known asAlcohol use disorder","Being unable to limit the amount of alcohol you drink, Wanting to cut down on how much you drink or making unsuccessful attempts to do so, Spending a lot of time drinking, getting alcohol or recovering from alcohol use, Feeling a strong craving or urge to drink alcohol, Failing to fulfill major obligations at work, school or home due to repeated alcohol use, Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems, Giving up or reducing social and work activities and hobbies to use alcohol, Using alcohol in situations where it's not safe, such as when driving or swimming, Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount, Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
"Addiction, gambling, also known asCompulsive gambling","Being preoccupied with gambling, such as constantly planning gambling activities and how to get more gambling money, Needing to gamble with increasing amounts of money to get the same thrill, Trying to control, cut back or stop gambling, without success, Feeling restless or irritable when you try to cut down on gambling, Gambling to escape problems or relieve feelings of helplessness, guilt, anxiety or depression, Trying to get back lost money by gambling more (chasing losses), Lying to family members or others to hide the extent of your gambling, Risking or losing important relationships, a job, or school or work opportunities because of gambling, Asking others to bail you out of financial trouble because you gambled money away"
"Addiction, nicotine, also known asNicotine dependence","You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop., You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea., You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop., You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Addison's disease,"Extreme fatigue, Weight loss and loss of appetite, Areas of darkened skin, Low blood pressure, even fainting, Salt craving, Low blood sugar, also called hypoglycemia, Nausea, diarrhea or vomiting, Abdominal pain, Muscle and joint pain, Irritability, Depression, Body hair loss or sexual issues in some people"
"Adenitis, mesenteric, also known asMesenteric lymphadenitis","Abdominal pain, often centered on the lower right side, but the pain can be more widespread, General abdominal tenderness, Fever, Mesenteric lymph node enlargement"
Adenomyosis,"Heavy or prolonged menstrual bleeding, Severe cramping or sharp, knifelike pelvic pain during menstruation (dysmenorrhea), Chronic pelvic pain, Painful intercourse (dyspareunia)"
"ADHD in children, also known asAttention-deficit/hyperactivity disorder (ADHD) in children","Predominantly inattentive. The majority of symptoms fall under inattention., Predominantly hyperactive/impulsive. The majority of symptoms are hyperactive and impulsive., Combined. This is a mix of inattentive symptoms and hyperactive/impulsive symptoms."
"ADHD, Adult, also known asAdult attention-deficit/hyperactivity disorder (ADHD)","Impulsiveness, Disorganization and problems prioritizing, Poor time management skills, Problems focusing on a task, Trouble multitasking, Excessive activity or restlessness, Poor planning, Low frustration tolerance, Frequent mood swings, Problems following through and completing tasks, Hot temper, Trouble coping with stress"
"Adhesive capsulitis, also known asFrozen shoulder","Freezing stage. Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months., Frozen stage. Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months., Thawing stage. The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months."
Adjustment disorders,"Feeling sad, hopeless or not enjoying things you used to enjoy, Frequent crying, Worrying or feeling anxious, nervous, jittery or stressed out, Trouble sleeping, Lack of appetite, Difficulty concentrating, Feeling overwhelmed, Difficulty functioning in daily activities, Withdrawing from social supports, Avoiding important things such as going to work or paying bills, Suicidal thoughts or behavior"
"Adolescent schizophrenia, also known asChildhood schizophrenia","Problems with thinking and reasoning, Bizarre ideas or speech, Confusing dreams or television for reality"
Adrenal cancer,"Weight gain, Muscle weakness, Pink or purple stretch marks on the skin, Hormone changes in women that might cause excess facial hair, hair loss on the head and irregular periods, Hormone changes in men that might cause enlarged breast tissue and shrinking testicles, Nausea, Vomiting, Abdominal bloating, Back pain, Fever, Loss of appetite, Loss of weight without trying"
Adult attention-deficit/hyperactivity disorder (ADHD),"Impulsiveness, Disorganization and problems prioritizing, Poor time management skills, Problems focusing on a task, Trouble multitasking, Excessive activity or restlessness, Poor planning, Low frustration tolerance, Frequent mood swings, Problems following through and completing tasks, Hot temper, Trouble coping with stress"
Adult Still's disease,"Fever. You might have a daily fever of at least 102 F (38.9 C) for a week or longer. The fever usually peaks in the late afternoon or early evening. You might have two fever spikes daily, with your temperature returning to normal in between., Rash. A salmon-pink rash might come and go with the fever. The rash usually appears on your trunk, arms or legs., Sore throat. This is one of the first symptoms of adult Still's disease. The lymph nodes in your neck might be swollen and tender., Achy and swollen joints. Your joints — especially your knees and wrists — might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders might also ache. The joint discomfort usually lasts at least two weeks., Muscle pain. Muscular pain usually ebbs and flows with the fever, but the pain can be severe enough to disrupt your daily activities."
"AFM, also known asAcute flaccid myelitis (AFM)","Sudden arm or leg weakness, Sudden loss of muscle tone, Sudden loss of reflexes"
Age spots (liver spots),"Are flat, oval areas of increased pigmentation, Are usually tan to dark brown, Occur on skin that has had the most sun exposure over the years, such as the backs of hands, tops of feet, face, shoulders and upper back, Range from freckle size to about 1/2 inch (13 millimeters) across, Can group together, making them more noticeable"
"Age-related macular degeneration, dry, also known asDry macular degeneration","Visual distortions, such as straight lines seeming bent., Reduced central vision in one or both eyes., The need for brighter light when reading or doing close-up work., Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater., Increased blurriness of printed words., Difficulty recognizing faces., A well-defined blurry spot or blind spot in the field of vision."
"Age-related macular degeneration, wet, also known asWet macular degeneration","Visual distortions, such as straight lines seeming bent., Reduced central vision in one or both eyes., The need for brighter light when reading or doing close-up work., Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater., Increased blurriness of printed words., Difficulty recognizing faces., A well-defined blurry spot or blind spot in the field of vision."
"Agnogenic myeloid metaplasia, also known asMyelofibrosis","Feeling tired, weak or short of breath, usually because of anemia, Pain or fullness below your ribs on the left side, due to an enlarged spleen, Easy bruising, Easy bleeding, Excessive sweating during sleep (night sweats), Fever, Bone pain"
Agoraphobia,"Leaving home alone., Crowds or waiting in line., Enclosed spaces, such as movie theaters, elevators or small stores., Open spaces, such as parking lots, bridges or malls., Using public transportation, such as a bus, plane or train."
"AIDP, also known asGuillain-Barre syndrome","A pins and needles sensation in your fingers, toes, ankles or wrists, Weakness in your legs that spreads to your upper body, Unsteady walking or inability to walk or climb stairs, Difficulty with facial movements, including speaking, chewing or swallowing, Double vision or inability to move the eyes, Severe pain that may feel achy, shooting or cramplike and may be worse at night, Difficulty with bladder control or bowel function, Rapid heart rate, Low or high blood pressure, Difficulty breathing"
"AIDS/HIV, also known asHIV/AIDS","Fever, Headache, Muscle aches and joint pain, Rash, Sore throat and painful mouth sores, Swollen lymph glands, mainly on the neck, Diarrhea, Weight loss, Cough, Night sweats"
Airplane ear,"Moderate discomfort or pain in your ear, Feeling of fullness or stuffiness in your ear, Muffled hearing or slight to moderate hearing loss"
Albinism,"Freckles., Moles, with or without color, which are sometimes pink., Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez)., Sunburn and no ability to tan."
"Alcohol addiction, also known asAlcohol use disorder","Being unable to limit the amount of alcohol you drink, Wanting to cut down on how much you drink or making unsuccessful attempts to do so, Spending a lot of time drinking, getting alcohol or recovering from alcohol use, Feeling a strong craving or urge to drink alcohol, Failing to fulfill major obligations at work, school or home due to repeated alcohol use, Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems, Giving up or reducing social and work activities and hobbies to use alcohol, Using alcohol in situations where it's not safe, such as when driving or swimming, Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount, Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
Alcohol intolerance,"Facial redness (flushing), Red, itchy skin bumps (hives), Worsening of pre-existing asthma, Runny or stuffy nose, Low blood pressure, Nausea and vomiting, Diarrhea"
Alcohol poisoning,"Confusion, Vomiting, Seizures, Slow breathing (less than eight breaths a minute), Irregular breathing (a gap of more than 10 seconds between breaths), Blue-tinged skin or pale skin, Low body temperature (hypothermia), Passing out (unconsciousness) and can't be awakened"
Alcohol use disorder,"Being unable to limit the amount of alcohol you drink, Wanting to cut down on how much you drink or making unsuccessful attempts to do so, Spending a lot of time drinking, getting alcohol or recovering from alcohol use, Feeling a strong craving or urge to drink alcohol, Failing to fulfill major obligations at work, school or home due to repeated alcohol use, Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems, Giving up or reducing social and work activities and hobbies to use alcohol, Using alcohol in situations where it's not safe, such as when driving or swimming, Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount, Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms"
Alcoholic hepatitis,"Loss of appetite, Nausea and vomiting, Abdominal tenderness, Fever, often low grade, Fatigue and weakness"
"Allergic granulomatosis, also known asChurg-Strauss syndrome","Loss of appetite and weight loss, Joint and muscle pain, Abdominal pain and gastrointestinal bleeding, Weakness, fatigue or a general feeling of being unwell, Rash or skin sores, Pain, numbness, and tingling in your hands and feet"
"Allergic granulomatosis and angiitis, also known asChurg-Strauss syndrome","Loss of appetite and weight loss, Joint and muscle pain, Abdominal pain and gastrointestinal bleeding, Weakness, fatigue or a general feeling of being unwell, Rash or skin sores, Pain, numbness, and tingling in your hands and feet"
"Allergic rhinitis, also known asHay fever","Runny nose and nasal stuffiness (congestion), Watery, itchy, red eyes (allergic conjunctivitis), Sneezing, Cough, Itchy nose, roof of mouth or throat, Mucus that runs down the back of your throat (postnasal drip), Swollen, bruised-appearing skin under the eyes (allergic shiners), Extreme tiredness (fatigue), often due to poor sleep"
Allergies,"Sneezing, Itching of the nose, eyes or roof of the mouth, Runny, stuffy nose, Watery, red or swollen eyes (conjunctivitis)"
"Allergy, dust mite, also known asDust mite allergy","Sneezing, Runny nose, Itchy, red or watery eyes, Nasal congestion, Itchy nose, roof of mouth or throat, Postnasal drip, Cough, Facial pressure and pain, Swollen, blue-colored skin under your eyes, In a child, frequent upward rubbing of the nose"
"Allergy, food, also known asFood allergy","Tingling or itching in the mouth, Hives, itching or eczema, Swelling of the lips, face, tongue and throat or other parts of the body, Wheezing, nasal congestion or trouble breathing, Abdominal pain, diarrhea, nausea or vomiting, Dizziness, lightheadedness or fainting"
"Allergy, latex, also known asLatex allergy","Itching, Skin redness, Hives or rash"
"Allergy, milk, also known asMilk allergy","Hives, Wheezing, Itching or tingling feeling around the lips or mouth, Swelling of the lips, tongue or throat, Coughing or shortness of breath, Vomiting"
"Allergy, mold, also known asMold allergy","Sneezing, Runny or stuffy nose, Cough and postnasal drip, Itchy eyes, nose and throat, Watery eyes, Dry, scaly skin"
"Allergy, nickel, also known asNickel allergy","Rash or bumps on the skin, Itching, which may be severe, Redness or changes in skin color, Dry patches of skin that may resemble a burn, Blisters and draining fluid in severe cases"
"Allergy, peanut, also known asPeanut allergy","Skin reactions, such as hives, redness or swelling, Itching or tingling in or around the mouth and throat, Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting, Tightening of the throat, Shortness of breath or wheezing, Runny nose"
"Allergy, penicillin, also known asPenicillin allergy","Skin rash, Hives, Itching, Fever, Swelling, Shortness of breath, Wheezing, Runny nose, Itchy, watery eyes, Anaphylaxis"
"Allergy, pet, also known asPet allergy","Sneezing, Runny nose, Itchy, red or watery eyes, Nasal congestion, Itchy nose, roof of mouth or throat, Postnasal drip, Cough, Facial pressure and pain, Frequent awakening, Swollen, blue-colored skin under your eyes, In a child, frequent upward rubbing of the nose"
"Allergy, shellfish, also known asShellfish allergy","Hives, Itchy, irritated skin, Nasal stuffiness (congestion), Swelling of the lips, face, tongue and throat, or other parts of the body, Wheezing or trouble breathing, Coughing and choking or a tight feeling in the throat, Belly (abdominal) pain, diarrhea, nausea or vomiting, Dizziness, lightheadedness or fainting"
"Allergy, wheat, also known asWheat allergy","Swelling, itching or irritation of the mouth or throat, Hives, itchy rash or swelling of the skin, Nasal congestion, Headache, Difficulty breathing, Cramps, nausea or vomiting, Diarrhea, Anaphylaxis"
"Alopecia, also known asHair loss","Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia)., Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out., Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary., Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back., Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing."
Alpha-gal syndrome,"Red meat, such as beef, pork or lamb., Organ meats., Products made from mammals, such as gelatins or dairy products."
"ALS, also known asAmyotrophic lateral sclerosis (ALS)","Difficulty walking or doing normal daily activities, Tripping and falling, Weakness in your legs, feet or ankles, Hand weakness or clumsiness, Slurred speech or trouble swallowing, Muscle cramps and twitching in your arms, shoulders and tongue, Inappropriate crying, laughing or yawning, Cognitive and behavioral changes"
"Alveolar osteitis, also known asDry socket","Severe pain within a few days after a tooth extraction, Partial or total loss of the blood clot at the tooth extraction site, which you may notice as an empty-looking (dry) socket, Visible bone in the socket, Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face as the extraction, Bad breath or a foul odor coming from your mouth, Unpleasant taste in your mouth"
Alzheimer's disease,"Repeat statements and questions over and over., Forget conversations, appointments or events., Misplace items, often putting them in places that don't make sense., Get lost in places they used to know well., Eventually forget the names of family members and everyday objects., Have trouble finding the right words for objects, expressing thoughts or taking part in conversations."
Ambiguous genitalia,"An enlarged clitoris, which may resemble a penis, Closed labia, or labia that include folds and resemble a scrotum, Lumps that feel like testes in the fused labia"
"Amblyopia, also known asLazy eye (amblyopia)","An eye that wanders inward or outward, Eyes that appear to not work together, Poor depth perception, Squinting or shutting an eye, Head tilting, Abnormal results of vision screening tests"
Ameloblastoma,"Conventional ameloblastoma. This is the most common type and grows aggressively, usually in the lower jawbone, and approximately 10% recur after treatment., Unicystic ameloblastoma. This type is less aggressive, but typically occurs at a younger age. The tumor is often in the back of the lower jawbone at the molars. Recurrence is possible after treatment., Peripheral ameloblastoma. This type is rare and affects the gums and oral tissue in the upper or lower jaw. The tumor has a low risk of recurrence after treatment., Metastasizing ameloblastoma. This type is very rare and is defined by tumor cells that occur away from the primary site in the jaw."
Amenorrhea,"Milky nipple discharge, Hair loss, Headache, Vision changes, Excess facial hair, Pelvic pain, Acne"
Amnesia,"Trouble learning new information., Trouble remembering past events and previously familiar information."
"Amnesia, transient global, also known asTransient global amnesia","Sudden onset of confusion that includes memory loss, seen by a witness, Being awake and alert and knowing who you are, despite memory loss, Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions, No signs of damage to a particular area of the brain, such as being unable to move an arm or leg, movements you can't control, or problems understanding words"
"Amnestic syndrome, also known asAmnesia","Trouble learning new information., Trouble remembering past events and previously familiar information."
Ampullary cancer,"Yellowing of the skin and eyes (jaundice), Clay-colored stools, Abdominal pain, Fever, Bleeding from the rectum, Nausea, Vomiting, Weight loss"
"Amyloid disease, also known asAmyloidosis","Severe fatigue and weakness, Shortness of breath, Numbness, tingling, or pain in the hands or feet, Swelling of the ankles and legs, Diarrhea, possibly with blood, or constipation, An enlarged tongue, which sometimes looks rippled around its edge, Skin changes, such as thickening or easy bruising, and purplish patches around the eyes"
Amyloidosis,"Severe fatigue and weakness, Shortness of breath, Numbness, tingling, or pain in the hands or feet, Swelling of the ankles and legs, Diarrhea, possibly with blood, or constipation, An enlarged tongue, which sometimes looks rippled around its edge, Skin changes, such as thickening or easy bruising, and purplish patches around the eyes"
Amyotrophic lateral sclerosis (ALS),"Difficulty walking or doing normal daily activities, Tripping and falling, Weakness in your legs, feet or ankles, Hand weakness or clumsiness, Slurred speech or trouble swallowing, Muscle cramps and twitching in your arms, shoulders and tongue, Inappropriate crying, laughing or yawning, Cognitive and behavioral changes"
Anal cancer,"Bleeding from the anus or rectum, Pain in the area of the anus, A mass or growth in the anal canal, Anal itching"
Anal fissure,"Pain during bowel movements., Pain after bowel movements that can last up to several hours., Bright red blood on the stool or toilet paper after a bowel movement., A visible crack in the skin around the anus., A small lump or skin tag on the skin near the anal fissure."
Anal fistula,"An opening on the skin around the anus, A red, inflamed area around the tunnel opening, Oozing of pus, blood or stool from the tunnel opening, Pain in the rectum and anus, especially when sitting or passing stool, Fever"
Anal itching,"Anal itching is severe or constant, You have anal bleeding or stool leakage, The anal area seems to be infected, You can't figure out what's causing a constant itch"
Anaphylaxis,"Skin reactions, including hives and itching and flushed or pale skin, Low blood pressure (hypotension), Constriction of the airways and a swollen tongue or throat, which can cause wheezing and trouble breathing, A weak and rapid pulse, Nausea, vomiting or diarrhea, Dizziness or fainting"
Anemia,"Fatigue, Weakness, Pale or yellowish skin, Irregular heartbeats, Shortness of breath, Dizziness or lightheadedness, Chest pain, Cold hands and feet, Headaches"
"Anemia, aplastic, also known asAplastic anemia","Fatigue, Shortness of breath, Rapid or irregular heart rate, Pale skin, Frequent or prolonged infections, Unexplained or easy bruising, Nosebleeds and bleeding gums, Prolonged bleeding from cuts, Skin rash, Dizziness, Headache, Fever"
"Anemia, Cooley's, also known asThalassemia","Fatigue, Weakness, Pale or yellowish skin, Facial bone deformities, Slow growth, Abdominal swelling, Dark urine"
"Anemia, iron deficiency, also known asIron deficiency anemia","Extreme fatigue, Weakness, Pale skin, Chest pain, fast heartbeat or shortness of breath, Headache, dizziness or lightheadedness, Cold hands and feet, Inflammation or soreness of your tongue, Brittle nails, Unusual cravings for non-nutritive substances, such as ice, dirt or starch, Poor appetite, especially in infants and children with iron deficiency anemia"
"Anemia, Mediterranean, also known asThalassemia","Fatigue, Weakness, Pale or yellowish skin, Facial bone deformities, Slow growth, Abdominal swelling, Dark urine"
